City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Tabou,CI,78.78,light rain,4.423,-7.3528,need g_key
571,Buraydah,SA,80.76,clear sky,26.326,43.975,need g_key
572,Roebourne,AU,80.78,clear sky,-20.7833,117.1333,need g_key
573,Hambantota,LK,79.14,few clouds,6.1241,81.1185,need g_key
575,Shouguang,CN,78.8,clear sky,36.88,118.7375,need g_key
578,Bonthe,SL,80.71,overcast clouds,7.5264,-12.505,need g_key
580,Trairi,BR,76.48,overcast clouds,-3.2778,-39.2689,need g_key
587,Razole,IN,87.55,clear sky,16.4833,81.8333,need g_key
590,Dingle,PH,86.52,overcast clouds,10.9995,122.6711,need g_key
592,Manadhoo,MV,79.74,light rain,5.7667,73.3833,need g_key
601,Durango,MX,76.69,broken clouds,24.8333,-104.8333,need g_key
602,Lufilufi,WS,83.79,light rain,-13.8745,-171.5986,need g_key
605,Dicabisagan,PH,88.27,overcast clouds,17.0818,122.4157,need g_key
607,Dwarka,IN,83.37,clear sky,22.2394,68.9678,need g_key
608,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,need g_key
616,Sonoita,MX,89.85,clear sky,31.85,-112.8333,need g_key
617,Port-Gentil,GA,80.33,light rain,-0.7193,8.7815,need g_key
627,Bourail,NC,80.38,overcast clouds,-21.5667,165.4833,need g_key
633,Unguia,CO,77.0,overcast clouds,8.0434,-77.0945,need g_key
641,Bowen,AU,81.01,clear sky,-20.0167,148.2333,need g_key
642,Sur,OM,83.41,clear sky,22.5667,59.5289,need g_key
643,Naica,MX,87.58,overcast clouds,27.85,-105.4833,need g_key
654,San Clemente,US,79.25,few clouds,33.427,-117.612,need g_key
655,Pontian Kecil,MY,84.87,broken clouds,1.4801,103.3899,need g_key
658,Charters Towers,AU,79.66,clear sky,-20.1,146.2667,need g_key
664,Sa Kaeo,TH,86.68,overcast clouds,13.75,102.3333,need g_key
666,Baragaon,IN,87.78,haze,25.4333,82.8167,need g_key
667,Kinablangan,PH,83.59,overcast clouds,7.6947,126.5503,need g_key
670,Dickinson,US,83.12,clear sky,29.4608,-95.0513,need g_key
672,Khipro,PK,85.06,clear sky,25.8285,69.3772,need g_key
673,Dosso,NE,92.08,overcast clouds,13.049,3.1937,need g_key
674,Karratha,AU,81.14,few clouds,-20.7377,116.8463,need g_key
678,Yanam,IN,87.64,clear sky,16.7333,82.2167,need g_key
682,Cairns,AU,86.11,clear sky,-16.9167,145.7667,need g_key
685,Saint Pete Beach,US,78.17,few clouds,27.7253,-82.7412,need g_key
687,Fare,PF,81.57,scattered clouds,-16.7,-151.0167,need g_key
689,Belmonte,BR,75.25,overcast clouds,-15.8631,-38.8828,need g_key
692,Islamabad,PK,86.85,overcast clouds,33.7104,73.1338,need g_key
693,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,need g_key
