City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Necochea,AR,-38.5473,-58.7368,52.95,75,86,24.45,overcast clouds
153,Batagay,RU,67.6333,134.6333,29.89,71,100,4.43,overcast clouds
154,Goderich,CA,43.7501,-81.7165,61.12,82,100,5.75,overcast clouds
155,Verkhnyaya Sinyachikha,RU,57.976,61.6673,51.46,72,39,3.49,scattered clouds
156,Agucadoura,PT,41.4318,-8.7804,63.32,91,97,17.11,light rain
157,Kingston,JM,17.997,-76.7936,81.55,77,40,17.27,scattered clouds
158,Orange Walk,BZ,17.8333,-88.8333,76.6,72,17,4.63,few clouds
159,Naze,JP,28.3667,129.4833,59.92,85,100,12.03,light rain
160,Arraial Do Cabo,BR,-22.9661,-42.0278,73.18,85,7,15.17,clear sky
161,Hasaki,JP,35.7333,140.8333,57.6,93,100,16.69,light rain
162,Visnes,NO,59.3556,5.2242,47.21,93,20,9.22,few clouds
163,Geraldton,AU,-28.7667,114.6,64.81,63,0,14.97,clear sky
164,Lunino,RU,53.5918,45.2271,42.3,94,23,5.06,few clouds
165,Samus,RU,56.7475,84.6992,62.33,53,19,5.99,few clouds
166,Konstantinovka,RU,49.6167,127.9833,50.67,28,9,13.82,clear sky
167,Iqaluit,CA,63.7506,-68.5145,24.53,80,100,13.8,overcast clouds
168,Lebu,CL,-37.6167,-73.65,53.13,67,100,1.83,overcast clouds
169,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.75,98,100,0.4,overcast clouds
170,Turukhansk,RU,65.8167,87.9833,60.53,53,100,8.5,overcast clouds
171,Voi,KE,-3.3945,38.563,67.26,87,1,6.22,clear sky
172,Srednekolymsk,RU,67.45,153.6833,33.91,98,100,13.49,overcast clouds
173,Alenquer,BR,-1.9417,-54.7383,74.89,97,100,2.77,overcast clouds
174,Khani,GE,41.9563,42.9566,47.77,93,100,1.43,overcast clouds
175,Vao,NC,-22.6667,167.4833,73.98,73,30,16.91,scattered clouds
176,Kargasok,RU,59.0556,80.8572,60.01,63,50,7.36,scattered clouds
177,Sarkand,KZ,45.41,79.9186,63.18,44,0,2.39,clear sky
178,Sitka,US,57.0531,-135.33,53.49,50,20,12.66,few clouds
179,Karabuk,TR,41.2049,32.6277,54.82,78,49,2.06,scattered clouds
180,Kodiak,US,57.79,-152.4072,47.71,66,0,9.22,clear sky
181,Tautira,PF,-17.7333,-149.15,81.3,73,100,14.97,overcast clouds
182,Laguna,US,38.421,-121.4238,87.46,50,0,18.41,clear sky
183,Dubbo,AU,-32.25,148.6167,66.33,72,40,4.61,scattered clouds
184,Ginir,ET,7.1333,40.7,55.17,85,86,6.24,overcast clouds
185,Lompoc,US,34.6391,-120.4579,60.94,84,100,31.0,mist
186,Kaitangata,NZ,-46.2817,169.8464,57.74,61,0,2.44,clear sky
187,Chokurdakh,RU,70.6333,147.9167,21.11,82,100,13.33,overcast clouds
188,Bend,US,44.0582,-121.3153,68.47,52,1,5.01,clear sky
189,Clyde River,CA,70.4692,-68.5914,21.43,93,20,5.75,few clouds
190,Maraa,BR,-1.8333,-65.3667,74.79,98,100,2.15,heavy intensity rain
191,Nhulunbuy,AU,-12.2333,136.7667,84.81,51,20,10.36,few clouds
192,Meiktila,MM,20.8667,95.8667,86.83,57,21,14.2,few clouds
193,Kavieng,PG,-2.5744,150.7967,83.64,66,100,1.43,overcast clouds
194,Tomatlan,MX,19.9333,-105.25,74.53,65,16,2.77,few clouds
195,Labuhan,ID,-6.8844,112.2051,83.75,76,67,4.54,broken clouds
196,Hithadhoo,MV,-0.6,73.0833,82.96,76,100,11.52,overcast clouds
197,Kahului,US,20.8947,-156.47,87.82,45,20,16.11,few clouds
198,Dikson,RU,73.5069,80.5464,34.72,93,100,14.61,overcast clouds
199,Nemuro,JP,43.3236,145.575,48.51,72,20,16.17,few clouds
200,Lorengau,PG,-2.0226,147.2712,84.9,62,71,5.53,broken clouds
201,Batticaloa,LK,7.7102,81.6924,82.0,72,47,5.06,scattered clouds
202,Salamanca,ES,40.8333,-6.0,51.75,89,65,6.2,broken clouds
203,Hato,CO,6.543,-73.3083,65.3,95,100,0.65,overcast clouds
204,Aksarka,RU,66.5606,67.7975,46.92,81,85,10.8,overcast clouds
205,Buckeye,US,33.3703,-112.5838,102.78,6,5,6.91,clear sky
206,Cayenne,GF,4.9333,-52.3333,82.09,1,75,4.0,light rain
207,Solnechnyy,RU,50.7214,136.6319,48.74,57,98,4.83,overcast clouds
208,Macau,MO,22.2006,113.5461,67.73,94,40,18.41,light intensity shower rain
209,Noumea,NC,-22.2763,166.4572,79.0,99,36,12.62,scattered clouds
210,Pekan,MY,3.4836,103.3996,80.71,72,71,5.86,broken clouds
