City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Zhigansk,RU,2022-05-08 22:04:05,66.7697,123.3711,18.68,93,100,25.19
114,Rawson,AR,2022-05-08 22:04:05,-43.3002,-65.1023,60.62,37,35,9.64
115,Cherskiy,RU,2022-05-08 22:04:06,68.75,161.3,25.11,89,100,12.95
116,Coihaique,CL,2022-05-08 22:02:41,-45.5752,-72.0662,41.61,91,7,7.47
117,Qaanaaq,GL,2022-05-08 22:03:00,77.484,-69.3632,24.4,81,100,3.09
118,Balaguer,ES,2022-05-08 22:04:08,41.7912,0.8109,64.42,75,94,6.46
119,Carnarvon,AU,2022-05-08 22:04:09,-24.8667,113.6333,60.87,94,0,9.22
120,Iskateley,RU,2022-05-08 22:04:10,67.6803,53.1512,28.29,94,100,6.55
121,Manggar,ID,2022-05-08 22:04:11,-2.8833,108.2667,82.31,80,100,6.35
122,Kuantan,MY,2022-05-08 22:04:12,3.8077,103.326,77.59,93,100,2.64
123,Charters Towers,AU,2022-05-08 22:01:44,-20.1,146.2667,68.45,90,100,11.52
124,Ginir,ET,2022-05-08 22:04:13,7.1333,40.7,58.21,78,56,5.44
125,Xining,CN,2022-05-08 22:00:12,36.6167,101.7667,44.98,79,1,2.01
126,Constitucion,CL,2022-05-08 22:00:57,-35.3333,-72.4167,54.3,92,100,6.44
127,Novolabinskaya,RU,2022-05-08 22:04:15,45.1096,39.894,48.83,79,84,0.76
128,Belyy,RU,2022-05-08 22:04:16,55.8402,32.9419,36.43,74,68,5.32
129,Bachaquero,VE,2022-05-08 22:04:17,9.9694,-71.1494,86.36,67,47,3.53
130,Tessalit,ML,2022-05-08 22:02:16,20.1986,1.0114,81.14,8,0,10.11
131,Ulaanbaatar,MN,2022-05-08 21:59:43,47.9077,106.8832,37.53,87,75,8.95
132,Arivonimamo,MG,2022-05-08 22:04:18,-19.0167,47.1833,62.65,93,2,2.48
133,Los Llanos De Aridane,ES,2022-05-08 22:05:19,28.6585,-17.9182,62.35,77,0,11.5
134,Bredasdorp,ZA,2022-05-08 22:05:20,-34.5322,20.0403,54.81,85,100,3.91
135,Airai,TL,2022-05-08 22:05:20,-8.9266,125.4092,57.96,89,51,4.18
136,Abu Kamal,SY,2022-05-08 22:05:21,34.4506,40.9171,69.03,32,0,5.7
137,Cabo San Lucas,MX,2022-05-08 22:00:45,22.8909,-109.9124,87.62,54,96,15.35
138,Islamkot,PK,2022-05-08 22:05:22,24.6997,70.177,79.2,69,0,12.48
139,Ewa Beach,US,2022-05-08 22:05:23,21.3156,-158.0072,84.15,56,75,17.27
140,Asosa,ET,2022-05-08 22:05:24,10.0667,34.5333,66.58,74,98,4.7
141,Upernavik,GL,2022-05-08 22:02:54,72.7868,-56.1549,16.52,83,60,5.86
142,Celestun,MX,2022-05-08 22:05:25,20.8667,-90.4,87.87,67,1,12.44
143,Caravelas,BR,2022-05-08 22:05:26,-17.7125,-39.2481,72.61,89,100,9.17
144,Tezu,IN,2022-05-08 21:55:40,27.9167,96.1667,72.41,70,2,4.68
145,Ust-Omchug,RU,2022-05-08 22:05:27,61.15,149.6333,29.53,83,49,2.48
146,San Cristobal,VE,2022-05-08 22:05:28,7.7669,-72.225,78.98,73,85,5.03
147,Komsomolskiy,UZ,2022-05-08 22:05:30,40.4272,71.7189,74.82,32,0,2.8
148,Oranjestad,AW,2022-05-08 22:05:31,12.524,-70.027,79.88,86,33,23.49
149,San Fernando,PH,2022-05-08 22:05:32,15.0286,120.6898,82.13,81,48,4.52
150,Thompson,CA,2022-05-08 21:55:51,55.7435,-97.8558,59.16,44,40,18.41
151,Mahebourg,MU,2022-05-08 22:05:33,-20.4081,57.7,72.25,88,20,4.61
152,Zhezkazgan,KZ,2022-05-08 22:05:34,47.8043,67.7144,53.62,33,100,17.54
153,Yuanli,TW,2022-05-08 22:05:35,24.4397,120.6535,74.86,94,75,10.36
154,Hami,CN,2022-05-08 22:05:36,42.8,93.45,66.42,31,6,6.8
155,Teplodar,UA,2022-05-08 22:05:37,46.5059,30.3252,47.21,58,6,4.97
156,Dryden,CA,2022-05-08 22:05:38,49.7833,-92.7503,46.69,100,100,9.22
157,Burns Lake,CA,2022-05-08 22:05:39,54.2331,-125.7533,46.4,56,100,7.96
158,Birao,CF,2022-05-08 22:05:40,10.2849,22.7882,88.2,25,88,5.08
159,Yumen,CN,2022-05-08 22:05:40,40.2833,97.2,58.6,42,72,8.1
160,Alyangula,AU,2022-05-08 22:05:41,-13.8483,136.4192,80.56,77,5,11.9
161,Rodrigues Alves,BR,2022-05-08 22:05:42,-7.738,-72.6509,79.5,75,96,0.98
162,Sao Felix Do Xingu,BR,2022-05-08 22:05:43,-6.6447,-51.995,77.9,78,65,2.71
163,Pokhara,NP,2022-05-08 22:03:01,28.2333,83.9833,66.94,65,11,6.26
164,Inta,RU,2022-05-08 22:05:44,66.0317,60.1659,46.09,77,99,15.32
165,Butaritari,KI,2022-05-08 22:05:45,3.0707,172.7902,81.82,79,13,18.32
166,Richards Bay,ZA,2022-05-08 22:05:46,-28.783,32.0377,65.3,89,97,10.27
167,Saldanha,ZA,2022-05-08 22:05:47,-33.0117,17.9442,57.27,88,100,7.65
168,Soria,ES,2022-05-08 22:05:48,41.6667,-2.6667,51.12,94,21,3.13
169,Hoganas,SE,2022-05-08 22:05:49,56.1997,12.558,47.44,80,16,1.99
170,Leningradskiy,RU,2022-05-08 22:05:49,69.3833,178.4167,26.26,91,100,8.37
171,Poum,NC,2022-05-08 22:05:50,-20.2333,164.0167,77.16,62,100,19.55
172,Katangli,RU,2022-05-08 22:05:51,51.7102,143.2326,32.04,99,95,13.0
173,Olympia,US,2022-05-08 22:01:46,47.0379,-122.9007,57.11,64,81,5.99
174,Nevel,RU,2022-05-08 22:05:52,56.0209,29.9284,39.4,59,81,6.15
175,Qaqortoq,GL,2022-05-08 22:05:53,60.7167,-46.0333,37.99,80,91,4.41
176,Ancud,CL,2022-05-08 22:05:54,-41.8697,-73.8203,51.51,87,49,3.89
177,Port Alfred,ZA,2022-05-08 22:05:54,-33.5906,26.891,56.17,92,99,1.99
